Group,Stimuli_Type,Item,PrimeCondition,Sentence,Picture1,Picture2,CorPic
A,Filler_Type2,F41,NA,Koerad on kastides,dog_all.png,crown_all.png,L
A,Filler_Type1,F16,NA,K&otildeik j&auml&aumltised on kastides,icecream_all.png,icecream_some.png,L
A,Filler_Type1,F17,NA,K&otildeik &otildeunad on kastides,apple_none.png,apple_all.png,R
A,Filler_Type1,F18,NA,K&otildeik puud on kastides,tree_all.png,tree_some.png,L
A,Prime,P21,Uwide,K&otildeik mootorrattad ei ole kastides,motorcycle_all.png,motorcycle_none.png,R
A,Prime,P22,Uwide,K&otildeik banaanid ei ole kastides,banana_all.png,banana_none.png,R
A,Target,T11,Uwide,K&otildeik kaamelid ei ole kastides,camel_none.png,camel_some.png,L
A,Filler_Type2,F42,NA,Kaamerad on kastides ,melon_all.png,camera_all.png,R
A,Filler_Type1,F19,NA,K&otildeik jalgrattad on kastides,bicycle_some.png,bicycle_all.png,R
A,Filler_Type2,F43,NA,V&otildetmed on kastides,pineapple_all.png,key_all.png,R
A,Prime,P23,NegWide,K&otildeik kaamerad ei ole kastides,camera_some.png,camera_all.png,L
A,Prime,P24,NegWide,K&otildeik lambad ei ole kastides,sheep_some.png,sheep_all.png,L
A,Target,T12,NegWide,K&otildeik muffinid ei ole kastides,muffin_none.png,muffin_some.png,L
A,Filler_Type2,F44,NA,Laevad on kastides,ship_all.png,elephant_all.png,L
A,Filler_Type2,F45,NA,Kruvid on kastides,nail_all.png,cup_all.png,L
A,Prime,P25,NegWide,K&otildeik prillid ei ole kastides,glasses_some.png,glasses_all.png,L
A,Prime,P26,NegWide,K&otildeik vihmavarjud ei ole kastides,umbrella_some.png,umbrella_all.png,L
A,Target,T13,NegWide,K&otildeik pallid ei ole kastides,ball_some.png,ball_none.png,R
A,Filler_Type1,F20,NA,K&otildeik kaamelid on kastides,camel_all.png,camel_none.png,L
A,Filler_Type1,F21,NA,K&otildeik lilled on kastides,flower_none.png,flower_all.png,R
A,Filler_Type2,F46,NA,Tassid on kastides,hamburger_all.png,cup_all.png,R
A,Filler_Type2,F47,NA,Muffinid on kastides,banana_all.png,muffin_all.png,R
A,Prime,P27,Uwide,K&otildeik lusikad ei ole kastides,spoon_none.png,spoon_all.png,L
A,Prime,P28,Uwide,K&otildeik kaelkirjakud ei ole kastides,giraffe_none.png,giraffe_all.png,L
A,Target,T14,Uwide,K&otildeik rongid ei ole kastides,train_none.png,train_some.png,L
A,Filler_Type2,F48,NA,Maasikad on kastides ,strawberry_all.png,bicycle_all.png,L
A,Filler_Type2,F49,NA,Kingad on kastides,muffin_all.png,shoe_all.png,R
A,Filler_Type1,F22,NA,K&otildeik &otildehupallid on kastides,balloon_none.png,balloon_all.png,R
A,Filler_Type2,F50,NA,Dinosaurused on kastides,dog_all.png,dinosaur_all.png,R
A,Prime,P29,NegWide,K&otildeik haamrid ei ole kastides,hammer_all.png,hammer_some.png,R
A,Prime,P30,NegWide,K&otildeik sokid ei ole kastides,sock_all.png,sock_some.png,R
A,Target,T15,NegWide,K&otildeik telefonid ei ole kastides,telephone_none.png,telephone_some.png,L
A,Filler_Type1,F23,NA,K&otildeik kaelkirjakud on kastides,giraffe_all.png,giraffe_some.png,L
A,Filler_Type1,F24,NA,K&otildeik porgandid on kastides,carrot_all.png,carrot_some.png,L
A,Prime,P31,NegWide,K&otildeik tassid ei ole kastides,cup_all.png,cup_some.png,R
A,Prime,P32,NegWide,K&otildeik t-s&aumlrgid ei ole kastides,t-shirt_some.png,t-shirt_all.png,L
A,Target,T16,NegWide,K&otildeik pandad ei ole kastides,panda_none.png,panda_some.png,L
A,Filler_Type2,F51,NA,Telefonid on kastides,telephone_all.png,chicken_all.png,L
A,Filler_Type2,F52,NA,Kroonid on kastides,camel_all.png,crown_all.png,R
A,Filler_Type2,F53,NA,Lennukid on kastides,hat_all.png,airplane_all.png,R
A,Filler_Type1,F25,NA,K&otildeik hamburgerid on kastides,hamburger_none.png,hamburger_all.png,R
A,Prime,P33,Uwide,K&otildeik laevad ei ole kastides,boat_all.png,boat_none.png,R
A,Prime,P34,Uwide,K&otildeik hobused ei ole kastides,horse_none.png,horse_all.png,L
A,Target,T17,Uwide,K&otildeik kingad ei ole kastides,shoe_some.png,shoe_none.png,R
A,Filler_Type1,F26,NA,K&otildeik raamatud on kastides,book_all.png,book_some.png,R
A,Filler_Type2,F54,NA,Porgandid on kastides,dinosaur_all.png,carrot_all.png,R
A,Filler_Type1,F27,NA,K&otildeik elevandid on kastides,elephant_all.png,elephant_some.png,L
A,Prime,P35,NegWide,K&otildeik v&otildetmed ei ole kastides,key_some.png,key_all.png,L
A,Prime,P36,NegWide,K&otildeik tennisereketid ei ole kastides,racket_all.png,racket_some.png,R
A,Target,T18,NegWide,K&otildeik mikrofonid ei ole kastides,microphone_some.png,microphone_none.png,R
B,Filler_Type1,F6,NA,K&otildeik prillid on kastides ,glasses_none.png,glasses_all.png,R
B,Filler_Type2,F35,NA,Pallid on kastides,train_all.png,ball_all.png,R
B,Filler_Type1,F5,NA,K&otildeik telefonid on kastides,telephone_some.png,telephone_all.png,R
B,Prime,P36,Uwide,K&otildeik tennisereketid ei ole kastides,racket_none.png,racket_all.png,L
B,Prime,P35,Uwide,K&otildeik v&otildetmed ei ole kastides,key_all.png,key_none.png,R
